s_id,software,groups
S0294,ShiftyBug,
S0290,Gooligan,
S0293,BrainTest,
S0289,Pegasus for iOS,
S0295,RCSAndroid,
S0292,AndroRAT,
S0288,KeyRaider,
S0286,OBAD,
S0287,ZergHelper,
S0284,More_eggs,"G0080,G0037"
S0285,OldBoot,
S0283,jRAT,
S0298,Xbot,
S0281,Dok,
S0280,MirageFox,G0004
S0278,iKitten,
S0279,Proton,
S0277,FruitFly,
S0276,Keydnap,
S0273,Socksbot,
S0274,Calisto,
S0272,NDiskMonitor,G0040
S0269,QUADAGENT,G0049
S0271,KEYMARBLE,G0032
S0267,FELIXROOT,
S0268,Bisonal,
S0270,RogueRobin,G0079
S0266,TrickBot,"G0092,G0102"
S0264,OopsIE,G0049
S0265,Kazuar,G0010
S0262,QuasarRAT,"G0078,G0040,G0045"
S0263,TYPEFRAME,G0032
S0260,InvisiMole,
S0259,InnaputRAT,
S0258,RGDoor,G0049
S0257,VERMIN,
S0256,Mosquito,G0010
S0255,DDKONG,G0075
S0275,UPPERCUT,G0045
S0254,PLAINTEE,G0075
S0252,Brave Prince,
S0251,Zebrocy,G0007
S0253,RunningRAT,
S0282,MacSpy,
S0250,Koadic,"G0007,G0069"
S0248,yty,
S0246,HARDRAIN,G0032
S0247,NavRAT,G0067
S0244,Comnie,
S0245,BADCALL,G0032
S0261,Catchamas,G0076
S0243,DealersChoice,G0007
S0241,RATANKBA,G0032
S0242,SynAck,
S0249,Gold Dragon,
S0239,Bankshot,G0032
S0240,ROKRAT,G0067
S0238,Proxysvc,G0032
S0236,Kwampirs,G0071
S0235,CrossRAT,G0070
S0237,GravityRAT,
S0231,Invoke-PSImage,
S0232,HOMEFRY,G0065
S0234,Bandook,G0070
S0228,NanHaiShu,G0065
S0229,Orz,G0065
S0230,ZeroT,G0062
S0233,MURKYTOP,G0065
S0227,spwebmember,G0004
S0226,Smoke Loader,
S0221,Umbreon,
S0225,sqlmap,G0059
S0223,POWERSTATS,G0069
S0222,CCBkdr,
S0224,Havij,G0059
S0217,SHUTTERSPEED,G0067
S0218,SLOWDRIFT,G0067
S0220,Chaos,
S0215,KARAE,G0067
S0216,POORAIM,G0067
S0219,WINERACK,G0067
S0213,DOGCALL,G0067
S0214,HAPPYWORK,G0067
S0211,Linfo,G0066
S0212,CORALDECK,G0067
S0208,Pasam,G0066
S0210,Nerex,G0066
S0204,Briba,G0066
S0206,Wiarp,G0066
S0205,Naid,G0066
S0203,Hydraq,"G0001,G0066"
S0202,adbupd,G0068
S0201,JPIN,G0068
S0207,Vasport,G0066
S0199,TURNEDUP,G0064
S0198,NETWIRE,"G0064,G0083,G0089"
S0197,PUNCHTRACK,G0061
S0196,PUNCHBUGGY,G0061
S0200,Dipsind,G0068
S0195,SDelete,"G0053,G0080,G0016,G0091"
S0193,Forfiles,G0007
S0191,Winexe,"G0007,G0091,G0105"
S0194,PowerSploit,"G0045,G0040,G0064,G0096,G0069"
S0187,Daserf,G0060
S0189,ISMInjector,G0049
S0190,BITSAdmin,"G0065,G0081,G0096"
S0192,Pupy,"G0059,G0064"
S0186,DownPaper,"G0059,G0058"
S0188,Starloader,G0054
S0185,SEASHARPEE,G0049
S0183,Tor,G0016
S0182,FinFisher,"G0070,G0070"
S0181,FALLCHILL,G0032
S0180,Volgmer,G0032
S0179,MimiPenguin,
S0184,POWRUNER,G0049
S0177,Power Loader,
S0175,meek,G0016
S0172,Reaver,
S0176,Wingbird,G0055
S0178,Truvasys,G0056
S0174,Responder,G0007
S0170,Helminth,G0049
S0171,Felismus,G0054
S0167,Matroyshka,
S0168,Gazer,G0010
S0164,TDTESS,G0052
S0165,OSInfo,G0022
S0166,RemoteCMD,G0022
S0169,RawPOS,G0053
S0160,certutil,"G0075,G0045,G0007,G0049,G0010,G0096"
S0162,Komplex,G0007
S0173,FLIPSIDE,G0053
S0161,XAgentOSX,G0007
S0163,Janicab,
S0158,PHOREAL,G0050
